"-","model","formula","m000_screen","m000_without_mmyy","m000_without_n_rep","m000_without_adjustment","lrt_p","eligible","aic","post_prob","m000","m000_lci","m000_uci","aic_delta"
"","no interactions","y ~  x1 + x2 + x3 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep",4510,3534,2612,2545,6.10955183821781e-05,"yes",5022.82,9.20800528913421e-05,4510,3175,6443,18.5699999999997
"","private survey x public survey, private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + x13:n_rep",34019,24255,21410,14562,1,"no - possible over-fitting",NA,NA,NA,NA,NA,NA
"","private survey x public survey, private survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep",4694,4409,3220,3165,0.000288534263011919,"yes",5018.77,0.000697608696492583,4694,2504,8946,14.5200000000004
"","private survey x public survey, public survey x social media","y ~  x1 + x2 + x3 + x12 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x13:n_rep",5382,3381,2802,2434,1.88374815921684e-06,"yes",5029.24,3.71603908460393e-06,5382,3170,9280,24.9899999999998
"","private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + x13:n_rep",10061,8673,6390,5414,0.22390226771514,"yes",5004.25,0.992178528995186,10061,3208,35143,0
"","private survey x public survey","y ~  x1 + x2 + x3 + x12 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep",4648,3399,2657,2444,1.66286618914722e-05,"yes",5025.84,2.03414024547203e-05,4648,3132,6947,21.5900000000001
"","private survey x social media","y ~  x1 + x2 + x3 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep",4524,4331,3086,3180,0.00247158994198283,"yes",5014.16,0.0069929539240855,4524,2725,7604,9.90999999999985
"","public survey x social media","y ~  x1 + x2 + x3 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x13:n_rep",4877,3543,2664,2577,1.25359822167038e-05,"yes",5026.48,1.47708898052279e-05,4877,3115,7723,22.2299999999996
