"-","list","n_deaths","sens_est","sens_lci","sens_uci"
"","public survey",474,0.00739596498619108,0.00172033332365495,0.0255209174608302
"","private survey",1063,0.0165863096631247,0.00385804709503208,0.0572336186938028
"","social media",1634,0.025495794910203,0.0059304317528527,0.0879771711624401
"","all lists",3171,0.0494780695595188,0.0115088121715397,0.170731707317073
