"-","model","formula","m000_screen","m000_without_mmyy","m000_without_n_rep","m000_without_cod2","m000_without_adjustment","lrt_p","eligible","aic","post_prob","m000","m000_lci","m000_uci","aic_delta"
"","no interactions","y ~  x1 + x2 + x3 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2",11075,10022,7117,10943,7626,7.40395116657234e-13,"yes",11606.4,1.38428711599335e-11,11075,8313,14798,50
"","private survey x public survey, private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x23:cod2 + x13:cod2",93554,69629,43901,62125,37939,1,"no - possible over-fitting",NA,NA,NA,NA,NA,NA
"","private survey x public survey, private survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x23:cod2",17018,16795,13230,15656,11850,6.33935026234555e-06,"yes",11567.95,0.00309412312300829,17018,9011,32658,11.5500000000011
"","private survey x public survey, public survey x social media","y ~  x1 + x2 + x3 + x12 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x13:cod2",12495,9327,6289,11113,6344,1.05494044896353e-09,"yes",11586.27,3.25386954539118e-07,12495,8317,18918,29.8700000000008
"","private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x23:cod2 + x13:cod2",23855,22422,17456,21769,16447,0.00129090044735518,"yes",11556.4,0.996754544411415,23855,9010,65669,0
"","private survey x public survey","y ~  x1 + x2 + x3 + x12 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2",12052,9828,7140,11750,7135,1.34361523071413e-10,"yes",11593.25,9.92458590658157e-09,12052,8761,16639,36.8500000000004
"","private survey x social media","y ~  x1 + x2 + x3 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x23:cod2",14187,15133,12096,13675,11824,7.11133819931155e-07,"yes",11573.99,0.000150996978164952,14187,8739,23224,17.5900000000001
"","public survey x social media","y ~  x1 + x2 + x3 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x13:cod2",11046,9680,6301,10237,7043,3.13300476654475e-12,"yes",11601.48,1.62028198099264e-10,11046,7767,15794,45.0799999999999
