"-","model","formula","m000_screen","m000_without_mmyy","m000_without_n_rep","m000_without_cod2","m000_without_adjustment","lrt_p","eligible","aic","post_prob","m000","m000_lci","m000_uci","aic_delta"
"","no interactions","y ~  x1 + x2 + x3 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2",12580,10567,7980,12504,8197,1.38567406285771e-11,"yes",10702.57,9.80599629955658e-13,12580,9141,17378,55.2999999999993
"","private survey x public survey, private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x23:cod2 + x13:cod2",105822,55753,64800,67468,35846,1,"no - possible over-fitting",NA,NA,NA,NA,NA,NA
"","private survey x public survey, private survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x23:cod2",28120,21689,23240,17081,11771,0.000346858494019844,"yes",10662.13,0.000592824507406205,28120,11574,70657,14.8599999999988
"","private survey x public survey, public survey x social media","y ~  x1 + x2 + x3 + x12 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x13:cod2",11944,8561,6239,11056,6320,1.24875611476175e-07,"yes",10679.11,1.21833297193357e-07,11944,7761,18556,31.8400000000001
"","private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x23:cod2 + x13:cod2",50289,34550,32833,40160,24330,0.203764181175615,"yes",10647.27,0.999388044262123,50289,13472,203957,0
"","private survey x public survey","y ~  x1 + x2 + x3 + x12 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2",12473,9448,7597,12368,7201,2.0696328849792e-09,"yes",10690.02,5.20822333411413e-10,12473,8791,17782,42.75
"","private survey x social media","y ~  x1 + x2 + x3 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x23:cod2",19983,20760,17131,17374,14119,2.01582168078365e-05,"yes",10669.01,1.90087312846143e-05,19983,11129,36255,21.7399999999998
"","public survey x social media","y ~  x1 + x2 + x3 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x13:cod2",12348,10015,6914,11581,7609,6.53370661541251e-10,"yes",10692.59,1.44085802506855e-10,12348,8387,18311,45.3199999999997
