"-","list","n_deaths","sens_est","sens_lci","sens_uci"
"","public survey",254,0.0333727499671528,0.0201491353323814,0.0519746265602619
"","private survey",444,0.0583366180528183,0.0352213231794384,0.09085328422345
"","social media",755,0.0991985284456707,0.0598921148659369,0.154491508082668
"","all lists",1453,0.190907896465642,0.115262573377757,0.29731941886638
