"-","list","n_deaths","sens_est","sens_lci","sens_uci"
"","public survey",280,0.0117061750073164,0.00175181751066732,0.0347999005717127
"","private survey",487,0.0203603829591538,0.00304691117033923,0.0605269699229431
"","social media",1219,0.0509636690497094,0.00762666266251236,0.151503852846135
"","all lists",1986,0.0830302270161796,0.0124253913435189,0.24683072334079
