"-","list","n_deaths","sens_est","sens_lci","sens_uci"
"","public survey",493,0.0103940460880015,0.00322487800410796,0.0273919324369374
"","private survey",1120,0.0236132487191921,0.00732629485720266,0.0622291365707301
"","social media",1923,0.0405431047205414,0.0125789866164292,0.10684520502278
"","all lists",3536,0.074550399527735,0.0231301594777398,0.196466274030448
