"-","model","formula","m000_screen","m000_without_mmyy","m000_without_n_rep","m000_without_cod2","m000_without_adjustment","lrt_p","eligible","aic","post_prob","m000","m000_lci","m000_uci","aic_delta"
"","no interactions","y ~  x1 + x2 + x3 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2",19405,14522,11113,18676,10990,8.03169873947416e-09,"yes",10775.69,5.69400501699213e-10,19405,13443,28167,42.5300000000007
"","private survey x public survey, private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x23:cod2 + x13:cod2",214527,119614,159950,164317,88846,1,"no - possible over-fitting",NA,NA,NA,NA,NA,NA
"","private survey x public survey, private survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x23:cod2",37502,36517,31824,30001,23445,0.00337574588029651,"yes",10744.99,0.00264142414084611,37502,14155,103516,11.8299999999999
"","private survey x public survey, public survey x social media","y ~  x1 + x2 + x3 + x12 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x13:cod2",18944,11015,9034,16803,7997,3.90548353850764e-06,"yes",10759.72,1.67208859045606e-06,18944,11521,31559,26.5599999999995
"","private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x23:cod2 + x13:cod2",62705,42029,45768,57111,31076,0.41677949629293,"yes",10733.16,0.978791080657595,62705,15267,286308,0
"","private survey x public survey","y ~  x1 + x2 + x3 + x12 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2",19801,13090,10880,18898,9796,3.97610158957238e-07,"yes",10766.06,7.02337368124501e-08,19801,13179,29959,32.8999999999996
"","private survey x social media","y ~  x1 + x2 + x3 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x23:cod2",29641,31961,25763,28645,23076,0.0109190605814911,"yes",10741.09,0.0185657450538304,29641,15258,58287,7.93000000000029
"","public survey x social media","y ~  x1 + x2 + x3 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x13:cod2",18643,12691,9587,17063,9539,5.43083205978992e-08,"yes",10770.6,7.25600046547374e-09,18643,12009,29226,37.4400000000005
