"-","model","formula","m000_screen","m000_without_mmyy","m000_without_n_rep","m000_without_cod2","m000_without_adjustment","lrt_p","eligible","aic","post_prob","m000","m000_lci","m000_uci","aic_delta"
"","no interactions","y ~  x1 + x2 + x3 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2",14287,13439,8868,13926,9548,2.39554075220061e-12,"yes",12822.16,8.97004182646193e-10,14287,10830,18893,41.0300000000007
"","private survey x public survey, private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x23:cod2 + x13:cod2",126626,94185,64109,79357,50552,1,"no - possible over-fitting",NA,NA,NA,NA,NA,NA
"","private survey x public survey, private survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x23:cod2",20225,20940,14705,20087,14701,2.89409297353457e-05,"yes",12783.12,0.2692915678673,20225,11176,37092,1.9900000000016
"","private survey x public survey, public survey x social media","y ~  x1 + x2 + x3 + x12 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x13:cod2",16558,12888,8163,14631,8238,2.86110472284145e-09,"yes",12802.61,1.57769492570801e-05,16558,11144,24773,21.4800000000014
"","private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x23:cod2 + x13:cod2",25966,24643,19524,23976,18519,7.24743255773267e-05,"yes",12781.13,0.728359458512577,25966,10000,69896,0
"","private survey x public survey","y ~  x1 + x2 + x3 + x12 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2",15874,13550,9066,15316,9148,1.99332411814774e-09,"yes",12805.7,3.36541056821649e-06,15874,11649,21701,24.5700000000015
"","private survey x social media","y ~  x1 + x2 + x3 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x23:cod2",17277,18639,13656,17194,14033,6.48806854718694e-07,"yes",12792.62,0.00232982856595835,17277,10824,27823,11.4900000000016
"","public survey x social media","y ~  x1 + x2 + x3 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x13:cod2",14313,13009,7919,13095,8849,2.10400485475254e-12,"yes",12820.77,1.79733542013084e-09,14313,10150,20277,39.6400000000012
