"-","model","formula","m000_screen","m000_without_mmyy","m000_without_n_rep","m000_without_adjustment","lrt_p","eligible","aic","post_prob","m000","m000_lci","m000_uci","aic_delta"
"","no interactions","y ~  x1 + x2 + x3 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep",5196,3917,2910,2802,0.000191820656268719,"yes",5067.74,0.00395806407228079,5196,3614,7518,10.8899999999994
"","private survey x public survey, private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + x13:n_rep",20700,20560,18596,13896,1,"no - possible over-fitting",NA,NA,NA,NA,NA,NA
"","private survey x public survey, private survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep",4888,4794,3361,3437,0.00269926385779857,"yes",5061.8,0.0771502666528213,4888,2608,9312,4.94999999999982
"","private survey x public survey, public survey x social media","y ~  x1 + x2 + x3 + x12 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x13:n_rep",5953,3616,3030,2602,1.05594633695579e-05,"yes",5073.43,0.000230099152551217,5953,3466,10397,16.5799999999999
"","private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + x13:n_rep",10316,8976,6769,5777,0.750290115971339,"no - possible over-fitting",NA,NA,NA,NA,NA,NA
"","private survey x public survey","y ~  x1 + x2 + x3 + x12 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep",5221,3717,2910,2662,4.99818501674899e-05,"yes",5071.1,0.000737680138569496,5221,3481,7893,14.25
"","private survey x social media","y ~  x1 + x2 + x3 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep",5028,4855,3375,3544,0.0187245730808692,"yes",5056.85,0.916676872066259,5028,2999,8540,0
"","public survey x social media","y ~  x1 + x2 + x3 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x13:n_rep",5645,3865,2975,2805,7.87998171803906e-05,"yes",5070.05,0.00124701791751843,5645,3544,9103,13.1999999999998
