"-","list","n_deaths","sens_est","sens_lci","sens_uci"
"","public survey",449,0.0186283865079036,0.00733300669606402,0.0417635568784299
"","private survey",1016,0.0421524291581961,0.0165931732810714,0.0945028369454004
"","social media",1306,0.0541841264572875,0.0213294136861016,0.121477071900288
"","all lists",2771,0.114964942123387,0.045255593663237,0.257743465724119
