"-","model","formula","m000_screen","m000_without_mmyy","m000_without_n_rep","m000_without_adjustment","lrt_p","eligible","aic","post_prob","m000","m000_lci","m000_uci","aic_delta"
"","no interactions","y ~  x1 + x2 + x3 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep",8384,6575,4746,4703,0.000688126200283697,"yes",6117.36,0.000940169740745455,8384,5838,12130,13.7199999999993
"","private survey x public survey, private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + x13:n_rep",50464,31763,46418,26759,1,"no - possible over-fitting",NA,NA,NA,NA,NA,NA
"","private survey x public survey, private survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep",7251,7618,5062,5469,0.0312095053341156,"yes",6109.37,0.0510755114950635,7251,4097,13048,5.72999999999956
"","private survey x public survey, public survey x social media","y ~  x1 + x2 + x3 + x12 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x13:n_rep",10500,6006,4863,4154,0.0016217757016304,"yes",6115.76,0.00209238623775859,10500,6045,18610,12.1199999999999
"","private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + x13:n_rep",31687,18005,23945,13395,0.371967407733194,"yes",6103.64,0.896326868678148,31687,5248,305740,0
"","private survey x public survey","y ~  x1 + x2 + x3 + x12 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep",8404,6281,4616,4371,0.00132271151443173,"yes",6116.3,0.00159728474813757,8404,5687,12527,12.6599999999999
"","private survey x social media","y ~  x1 + x2 + x3 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep",7750,8139,5591,6146,0.0199775977648418,"yes",6109.55,0.0466795027590108,7750,4676,13033,5.90999999999985
"","public survey x social media","y ~  x1 + x2 + x3 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x13:n_rep",10309,6524,4982,4649,0.00110864333123139,"yes",6116.73,0.00128827634113656,10309,6266,17248,13.0899999999992
