"-","list","n_deaths","sens_est","sens_lci","sens_uci"
"","public survey",265,0.00861872703027938,0.000956796141042583,0.0394169269671278
"","private survey",454,0.0147656681952711,0.0016391903699371,0.0675293767663246
"","social media",964,0.0313526522912805,0.00348057162250962,0.143388368287967
"","all lists",1683,0.0547370475168309,0.00607655813348931,0.250334672021419
