"-","list","n_deaths","sens_est","sens_lci","sens_uci"
"","public survey",249,0.0367094206103494,0.0233517771734034,0.0546292233435717
"","private survey",444,0.0654577620521893,0.0416393135140204,0.09741114523914
"","social media",747,0.110128261831048,0.0700553315202101,0.163887670030715
"","all lists",1440,0.212295444493587,0.135046422207634,0.315928038613427
