"-","list","n_deaths","sens_est","sens_lci","sens_uci"
"","public survey",448,0.00309807338561332,0.000712284684925321,0.0119022316684378
"","private survey",1011,0.00699141114476578,0.0016074103045971,0.0268597236981934
"","social media",1306,0.00903143714645312,0.00207643705025105,0.0346971307120085
"","all lists",2765,0.0191209216768322,0.00439613203977347,0.0734590860786397
