"expert","score","wt"
"expert 1",0.0700991666666667,0.0631163426900997
"expert 2",0.146833333333333,0.132206749747329
"expert 3",0.1360725,0.122517840783156
"expert10",0.0473666666666667,0.0426483067856878
"expert11",0.105366666666667,0.0948707232579585
"expert4",0.172598333333333,0.155405207685399
"expert6",0.0950833333333333,0.0856117488431909
"expert7",0.0653275,0.0588199984843494
"expert8",0.227803333333333,0.205111043915601
"expert9",0.0440833333333333,0.0396920378072288
