"list","n_deaths","sens_est","sens_lci","sens_uci"
"all lists",1869,0.0718174395020495,0.0317762937021957,0.148721049838866
"private survey",481,0.0185001159355456,0.00818236648348392,0.0383571455221913
"public survey",275,0.0105501554176498,0.00468133288660205,0.0218342964826582
"social media",1113,0.0427683218481327,0.0189148514557183,0.0885329502964862
