"list","n_deaths","sens_est","sens_lci","sens_uci"
"all lists",3066.5,0.0914658201576354,0.0326302927836976,0.225204565630296
"private survey",1059,0.0316532985381768,0.0112924855800444,0.0779372311225791
"public survey",469,0.0139894077529521,0.00496527499566282,0.0344838672031227
"social media",1541,0.0459271026633318,0.0163846435789369,0.1131097144545
