"-","model","formula","m000_screen","m000_without_mmyy","m000_without_n_rep","m000_without_cod2","m000_without_adjustment","lrt_p","eligible","aic","post_prob","m000","m000_lci","m000_uci","aic_delta"
"","no interactions","y ~  x1 + x2 + x3 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2",60081,30983,30314,59255,24315,1.38710167386305e-05,"yes",10790.95,9.39524624821849e-07,60081,34419,106550,27.6800000000003
"","private survey x public survey, private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x23:cod2 + x13:cod2",3677980,232590,4355617,4896705,693800,1,"no - possible over-fitting",NA,NA,NA,NA,NA,NA
"","private survey x public survey, private survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x23:cod2",157109,177008,146596,122966,118523,0.117186046068385,"yes",10770.09,0.0318126328746028,157109,24421,1195237,6.81999999999971
"","private survey x public survey, public survey x social media","y ~  x1 + x2 + x3 + x12 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2 + x13:cod2",42088,19781,18880,40672,15383,0.0238481708731969,"yes",10773.96,0.00459451624226863,42088,22057,82359,10.6899999999987
"","private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x23:cod2 + x13:cod2",1867859,169734,1580780,1865048,108240,0.756255705709282,"no - possible over-fitting",NA,NA,NA,NA,NA,NA
"","private survey x public survey","y ~  x1 + x2 + x3 + x12 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x12:cod2",54534,25927,28066,53716,20891,0.00352257438896807,"yes",10777.59,0.00074816141495543,54534,30236,100137,14.3199999999997
"","private survey x social media","y ~  x1 + x2 + x3 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x23:cod2",155270,168087,141137,134635,96596,0.380835037797099,"yes",10763.27,0.962817104484335,155270,38853,666929,0
"","public survey x social media","y ~  x1 + x2 + x3 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x13:n_rep + cod2 + x1:cod2 + x2:cod2 + x3:cod2 + x13:cod2",49398,24604,22538,48299,19309,0.000253753494027606,"yes",10784.26,2.66454592129511e-05,49398,26774,93182,20.9899999999998
