"-","model","formula","m000_screen","m000_without_mmyy","m000_without_n_rep","m000_without_adjustment","lrt_p","eligible","aic","post_prob","m000","m000_lci","m000_uci","aic_delta"
"","no interactions","y ~  x1 + x2 + x3 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep",4311,3384,2485,2425,3.41912551207372e-05,"yes",4947.18,4.31234458677631e-05,4311,3036,6156,20.0900000000001
"","private survey x public survey, private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep + x13:n_rep",32661,23290,19718,13482,1,"no - possible over-fitting",NA,NA,NA,NA,NA,NA
"","private survey x public survey, private survey x social media","y ~  x1 + x2 + x3 + x12 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x23:n_rep",4637,4363,3121,3080,0.000249948520133514,"yes",4942.01,0.00057195872909975,4637,2467,8862,14.9200000000001
"","private survey x public survey, public survey x social media","y ~  x1 + x2 + x3 + x12 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep + x13:n_rep",5015,3192,2622,2291,7.86671116018372e-07,"yes",4953.98,1.43917040056489e-06,5015,2966,8609,26.8899999999994
"","private survey x social media, public survey x social media","y ~  x1 + x2 + x3 + x23 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep + x13:n_rep",9825,8402,6092,5130,0.233348069488238,"yes",4927.09,0.993576995139387,9825,3117,34451,0
"","private survey x public survey","y ~  x1 + x2 + x3 + x12 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x12:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x12:n_rep",4441,3259,2527,2330,8.77982880104841e-06,"yes",4950.22,9.43161021762033e-06,4441,2995,6632,23.1300000000001
"","private survey x social media","y ~  x1 + x2 + x3 + x23 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x23:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x23:n_rep",4424,4231,2982,3074,0.00219753042382583,"yes",4937.38,0.00579103804483767,4424,2659,7455,10.29
"","public survey x social media","y ~  x1 + x2 + x3 + x13 + mmyy + x1:mmyy + x2:mmyy + x3:mmyy + x13:mmyy + n_rep + x1:n_rep + x2:n_rep + x3:n_rep + x13:n_rep",4584,3351,2503,2430,5.87221077949248e-06,"yes",4951.12,6.01386018987937e-06,4584,2931,7248,24.0299999999997
