"-","list","n_deaths","sens_est","sens_lci","sens_uci"
"","public survey",234,0.0212901464834865,0.00659545083006849,0.0542294322132097
"","private survey",419,0.0381220998999181,0.0118098029820457,0.0971031286210892
"","social media",695,0.0632335547265945,0.0195890526790496,0.161066048667439
"","all lists",1348,0.122645801109999,0.0379943064911638,0.312398609501738
